"ids","rel.ids","mzs","RTs","Int"
414,164,175.0234944151,62.8570431301,31429786
448,164,139.0024165213,62.8279302688,29110380
587,164,193.034093624,62.8531031054,22220164
855,164,157.0129811406,62.8388843536,16617696
1305,164,215.0159193818,62.7735233307,10549172
1657,164,111.0076136242,62.8206762132,7910471
337,165,214.0893030412,495.0750448537,39706428
338,166,123.0473549903,58.8446457272,39678496
341,167,580.2973993969,359.7102512905,39052576
1152,167,581.3006126447,359.980485026,12002454
1755,167,302.2072477476,358.5783091954,7333544
343,168,620.2393467219,45.7696989604,38960056
722,168,603.1530060315,44.8081499281,19240876
1429,168,621.2428362551,45.8561492647,9508882
3089,168,604.1565270043,44.8656963167,3961419.25
4170,168,622.2448210397,45.8814098721,2816470
349,169,145.0493689716,81.32092986,38052912
1504,169,117.0545015011,78.1987423564,13438331
352,170,192.1592032028,51.0577647535,37544276
355,171,254.1609450539,105.9461978731,37364736
2372,171,213.0867542664,105.6077544803,5311711
2882,171,255.1641436585,105.9132232666,4289964
358,172,500.3790090617,559.7899120242,36889552
365,172,483.3525017438,559.8302094216,35603384
401,172,505.3343941297,559.9536182492,32623346
359,173,319.1900583571,579.9698014032,36517796
631,173,251.1275127281,579.8273343818,21188040
757,173,341.1719742247,580.0444045294,18537634
1377,173,378.2634618,580.1230824788,9955032
1738,173,320.1933961059,580.0111505418,7420887
2022,173,281.2108531862,584.2588224189,6328744.5
3137,173,342.1753442904,580.1345418294,3893790.5
3678,173,252.1308466667,579.9704503676,3220130.5
455,174,456.2072982579,100.3504233587,35851268
2083,174,457.2108012298,100.3026900519,7378552
363,175,317.5222216075,337.8731460571,35632172
787,175,317.8563807098,337.8476286389,17781304
2569,175,318.1905348594,337.882819199,4867321
364,176,137.0595997538,121.3746624436,35623116
440,176,111.0440269177,121.3821780183,29667468
630,176,95.0490911028,121.2861770807,21192054
773,176,195.0625576366,121.1681606381,18189552
1002,176,155.0701518054,121.2018536412,13997664
3742,176,138.0629324302,121.3924082801,3164219.5
366,177,657.4778640426,607.5348727578,35591964
411,177,674.5044853707,607.6142272949,32039390
433,177,679.4597105758,607.6768762925,30154762
370,178,163.0598292531,47.517532393,34984484
621,178,686.242641189,43.8159389496,21359804
636,178,667.2289374196,47.3591765914,21070026
1695,178,91.0389079803,46.362549804,7647877.5
2221,178,668.2324222441,47.3100842067,5663912
376,179,131.0701444244,95.9406536901,34482280
379,180,201.0520040828,57.0382462002,34292916
388,181,90.0912801676,41.0142367607,33716112
2240,181,74.0964060931,42.8197685242,5588072.5
389,182,308.6578648074,324.1638786316,33690396
507,182,616.3085315265,324.5847990392,25046234
1266,182,309.1596622297,324.4611433549,10955194
1372,182,372.1762682034,323.0898946126,9976981
1634,182,617.3120534977,324.3290632199,8085015.5
2326,182,329.1814694894,324.5405364165,5404670
