"ids","rel.ids","mzs","RTs","Int"
"41","29","307.083098998987","58.5331474304199","346278976"
"140","29","307.58449023014","58.507137625558","93809688"
"916","29","159.112649737286","59.8439156815812","11705642"
"1270","29","178.599889543734","57.8827092851911","7606177"
"1304","29","308.582094198162","58.5071446010045","7344000.5"
"42","30","112.036857459372","39.2848627190841","337838656"
"44","31","275.134912802432","50.1559430803571","325074784"
"322","31","276.13831869763","50.078341783796","35019856"
"1994","31","277.139903956675","50.043826511928","4100829.75"
"48","32","254.160961762582","108.137134128147","305378336"
"150","32","251.150528615596","108.841756984166","85922904"
"308","32","255.164034665239","107.965494210379","37381528"
"962","32","252.153744686961","108.859203665597","10936105"
"2040","32","171.062629062896","109.30487803409","3987188.75"
"2197","32","371.24011538187","107.974540492467","3599312.75"
"2653","32","131.070257231726","108.897503702264","2887774.25"
"2662","32","149.080754344085","108.745185634068","2875038.5"
"50","33","242.284107984569","603.3898684853","298468288"
"242","33","243.287327553771","603.389873303865","53124332"
"1959","33","244.2904152677","603.38180702611","4212463"
"51","34","243.157700114982","82.2032278878348","292953280"
"136","34","236.149912959255","82.4987860543387","96852016"
"220","34","254.160987771932","82.5529011620416","60034328"
"481","34","236.651648790927","82.4814047677176","22424844"
"922","34","485.308611306148","82.1249162946429","11623021"
"950","34","230.11347609967","81.5506314958845","11174083"
"1546","34","252.144629012765","82.0465229579381","5861806.5"
"1700","34","247.657690901414","81.7767765590123","5141855.5"
"55","35","87.0804322035879","763.424523604544","265440400"
"650","35","88.0835949026952","762.901498894942","16295446"
"1714","35","102.099350462404","762.635266755757","5116456.5"
"58","36","308.090990717139","52.5058725145128","259226800"
"388","36","309.094611528671","52.5127212524414","28328520"
"453","36","194.631242185797","52.9892143249512","24107520"
"956","36","310.086610213053","52.5300043378558","11025801"
"1226","36","258.108435403038","52.9715891156878","8004356.5"
"1536","36","166.072222421589","52.5566464015416","5903376.5"
"1641","36","200.102812838737","52.9112828935896","5398433"
"2161","36","110.060121249127","53.1411833891997","3700135.75"
"69","37","197.128323656077","282.419778924239","241744784"
"127","37","380.194454874403","283.206501116071","110975936"
"265","37","219.110226384251","282.413156563895","46498236"
"279","37","380.695735175289","283.232657296317","43349128"
"412","37","198.131463888895","282.491664341518","26691232"
"973","37","381.196401562406","283.197735595703","10812218"
"1710","37","220.113474345656","282.395765904018","5114944.5"
"2142","37","391.185308912607","283.215228271484","3730866"
"2219","37","359.265038265728","281.442711530413","3557230"
"2496","37","294.136838572582","281.661985560826","3077592.75"
"2591","37","260.177669810119","282.264578683036","2952318.25"
"76","38","337.678988107414","302.626219831194","231410640"
"144","38","338.180229490665","302.652355957031","89447928"
"309","38","348.669620805531","302.521676199777","37146996"
"444","38","674.351145670854","302.661094447545","24885778"
"534","38","338.681573495188","302.573952811105","19931806"
"774","38","349.171296567153","302.512997872489","13854207"
"870","38","169.075873237782","303.014321578176","12492369"
"1082","38","356.652102223116","302.573978969029","9561648"
"1143","38","675.354400336628","302.687206159319","8860555"
"2014","38","696.333242061452","302.809234619141","4059057"
"2111","38","364.638240612572","302.582646833147","3823852"
"2269","38","357.153873855795","302.495601981027","3444320.75"
"2303","38","339.183015873135","302.57392578125","3365408.75"
"2457","38","349.672592717031","302.573924909319","3130397"
"2797","38","171.112643259675","302.603681062397","2690803"
"77","39","327.682085473871","161.928885759626","226029984"
"160","39","328.183189743546","161.97273210798","79905840"
"630","39","328.684448272961","161.972749110631","16835666"
"1172","39","417.245463720779","162.938359287807","8561946"
"1585","39","209.126298256024","162.753531319754","5674162"
"2119","39","430.229521189636","162.63048488072","3801914.5"
"2634","39","490.214565335816","163.880421665737","2910666.25"
"2763","39","329.185801209854","161.797519356864","2724221.25"
"80","40","136.0616856497","45.6622983029014","205548208"
"85","41","379.707727918431","416.822139195033","187461072"
"159","41","380.208997901387","416.813403320312","80466504"
"278","41","390.698245331033","416.918220738002","43406040"
"517","41","380.710369604696","416.769767543248","20930236"
"548","41","391.199866132334","416.900722830636","19263784"
"971","41","398.68075863678","416.822168840681","10819220"
"1293","41","395.744233510993","417.730982317243","7371520.5"
"1331","41","380.73856162824","417.320227050781","7180633.5"
"1769","41","406.66687652237","416.865943254743","4877483.5"
"1792","41","391.701031169746","416.778424072266","4787353.5"
"1890","41","399.182394582137","416.778446742467","4416268"
"2153","41","381.211756240844","416.89208984375","3712954.75"
"2320","41","396.245899090594","417.722340611049","3329289.75"
"2448","41","381.240471798235","417.311426653181","3138529.75"
"93","42","414.234577540634","267.417794363839","174030656"
"320","42","415.237694832405","267.426545933315","35237508"
"373","42","207.62086648855","267.374051339286","29827076"
"455","42","390.187001199186","268.013133021763","24062178"
"616","42","436.216394490564","267.479082380022","17152284"
"1403","42","226.594285623803","267.444115339007","6636669"
"1434","42","360.687246543501","267.242575509208","6458326.5"
"1613","42","208.122654735328","267.356493268694","5529386.5"
"1723","42","172.006133027816","267.951796177455","5071060"
"2145","42","265.141996716523","267.943046351842","3727172.25"
"2323","42","376.171358124913","267.487666538783","3326086.75"
"2396","42","437.219988180038","267.443959263393","3199898.5"
"94","43","195.123229025949","54.9838754926409","173176064"
"258","43","278.572546029442","55.0183500017439","48007592"
"334","43","195.624964880898","54.9752346583775","33637112"
"887","43","389.239521066145","55.156840297154","12223222"
"1022","43","174.117908737314","56.5151329040527","10233586"
"1028","43","279.074295256221","55.0357027326311","10154988"
"96","44","146.165097916879","33.481744716042","168009792"
"133","44","89.1072902236603","34.6145270498175","105694520"
"383","44","231.139490654187","32.7084400721959","29046700"
"848","44","147.168229514335","33.4602648760821","12747005"
"1266","44","266.658146950047","32.8046528407506","7643595.5"
"1460","44","202.628725265624","32.7873215811593","6300277"
"1464","44","142.589492448328","33.4415109906878","6271188"
"1492","44","206.618689608399","32.8573348999023","6131693"
"1539","44","231.641327487586","32.6996954781669","5884861.5"
"1748","44","186.10540428783","32.7346652439662","4972884"
"2155","44","129.138551919684","33.0295818873814","3706589.75"
"2156","44","188.6312115265","32.6117575509208","3706252.25"
"2607","44","193.11325089676","32.9447999136788","2941727.25"
"2851","44","173.625968299803","32.6206043788365","2610241.25"
"2869","44","181.623366240233","32.5766502380371","2584761.5"
"97","45","245.128348253175","365.709774619655","163133520"
"217","45","288.678719141373","365.186066545759","61463544"
"253","45","267.110278504646","365.692360142299","48811436"
"438","45","246.13150977668","365.613810511998","24994110"
"520","45","289.180264405024","365.2384652274","20520120"
"1103","45","576.350321472153","365.37801600865","9304398"
"1291","45","268.11355481559","365.683635602679","7385725"
"2227","45","289.681731218512","365.029027448382","3538245.25"
"2821","45","577.35362501763","365.421579415458","2659041.5"
"98","46","90.9766045395962","37.6095029931319","162049392"
"168","46","158.963928713581","37.6158358599689","76573640"
"416","46","64.0160041590891","37.5376666219611","26274092"
"567","46","111.08925094815","37.2907068525042","18591180"
"1776","46","125.104861410333","37.5777917044503","4838268.5"
"100","47","342.085270628503","56.4176386727227","152598240"
"2791","47","291.011118011425","57.2009897585268","2696115.25"
"103","48","131.117796056283","44.0828018188477","150457520"
"129","48","258.144789019004","44.4782196044922","110301024"
"211","48","193.62344752854","44.4956123352051","63377104"
"240","48","123.055156681679","46.3612156918174","58038632"
"434","48","200.139186209524","44.1741243634905","25117910"
"633","48","267.108640030878","44.5390623910086","16799540"
"683","48","296.140239433659","44.3912524632045","15501984"
"920","48","194.125196914224","44.5043048313686","11634233"
"1077","48","114.091443523145","44.0609501286557","9621589"
"1175","48","125.023225206495","44.4521126883371","8505300"
"530","48","239.122837980623","44.6260007585798","4984392.5"
"2714","48","103.038938807818","46.2535714601216","2780990.25"
"106","49","223.625195806823","68.1210407802037","145073440"
"330","49","224.126640254459","67.9113440262644","34118212"
"590","49","259.092448823253","68.6154724924188","18380080"
"889","49","446.243381305037","68.6234285627093","12151569"
"1589","49","224.623020981121","68.0857990809849","5650675.5"
"1958","49","276.118993224778","67.5040762765067","4219321"
"2386","49","281.074345008767","68.4818516322545","3209683.75"
