"ids","rel.ids","mzs","RTs","Ints","relationship","isotope.pattern","charge"
16609,143,838.220982579453,178.333946655138,15430.7430684911,"",NA,NA
2537,308,503.370625639499,171.524594152997,389032.097583056,"bp",2,1
15536,4488,837.222675278674,178.96137116719,19456.0769157859,"",NA,NA
3414,143,720.227158934089,177.505903972209,264794.450264702,"potential bp|isotope",1,1
3390,2,360.320986310527,122.046683550441,266614.948319672,"potential bp|isotope",7,1
1584,3088,360.324052658087,149.212214910779,674626.102187111,"bp",0,1
7832,143,237.079585517455,177.550587900227,81855.8607971623,"",NA,NA
92,13,703.214853854499,131.944860644323,11817452.5096213,"",NA,NA
223,13,703.216274741121,132.488333385266,5561056.79510653,"",NA,NA
2447,209,353.302560364677,133.211183977441,405895.188270514,"potential bp",0,1
4738,2,353.302216321304,121.392368631143,169430.380364934,"",NA,NA
16029,412,614.197826956864,181.545058462326,17618.1208284632,"",NA,NA
3434,79,937.757939074911,182.762673310352,261535.964955644,"potential bp|isotope",9,1
5867,6179,297.240215313542,54.3310569768198,125977.757932861,"bp",1,1
226,16,779.231821111778,157.219409793851,5491692.20945716,"",NA,NA
6525,79,497.347133714536,182.557118370109,108078.967789861,"potential bp|isotope",5,1
14894,412,613.200033715659,181.72035618881,21899.6398951074,"",NA,NA
6500,79,870.650487109981,182.645319865106,108638.92170077,"potential bp|isotope",1,1
2173,79,481.377756637399,182.624752243143,466342.497055899,"bp|isotope",3,1
6640,1895,333.334180307776,33.1355015508951,104839.428427773,"bp|isotope",0,1
1756,143,719.228964898409,177.420718335837,603923.051295769,"",NA,NA
6970,79,757.522281930407,182.786200015557,97805.3983192929,"potential bp",0,1
4436,79,869.647113197096,182.546076657781,185562.004611326,"potential bp",1,1
3317,79,496.348296639863,182.703534480879,275062.677531674,"potential bp|isotope",5,1
7585,2690,113.132591910589,130.08663591794,85890.3676981434,"bp",NA,NA
9336,298,230.183298141059,183.557694100664,60070.0152986605,"potential bp|isotope",0,1
2725,3093,339.345214764673,149.435348884955,353587.97030295,"bp|isotope",0,1
7806,79,458.391954703134,182.859576509102,82346.6656107787,"potential bp|isotope",2,1
12165,412,612.199064771376,181.636207633728,34506.762757875,"bp",NA,NA
6246,298,286.245954274416,183.559756180202,115454.428423114,"bp|isotope",1,1
3616,79,258.214568228417,182.205955918181,245615.221372976,"potential bp|isotope",7,1
6996,105,691.174363829621,187.429876260093,97168.2511250572,"potential bp|isotope",2,1
6085,205,359.35204514978,166.640428112452,119829.926947789,"",NA,NA
2881,2043,294.206627593006,29.402315354738,329202.323275939,"bp",0,1
1542,1209,301.060397008518,186.584816196242,694404.176321883,"bp",NA,NA
12487,1210,191.09086890087,186.249957843415,32667.5698837441,"bp",NA,NA
862,143,718.22894631979,177.503619100489,1368073.63210719,"potential bp",1,1
447,143,716.229219721311,177.570475720814,2628410.61653035,"bp",NA,NA
8046,24,286.996757827737,186.37149934356,78026.9699962793,"potential bp|isotope",10,1
9283,486,697.525500242143,184.688680754949,60749.5667286694,"potential bp",0,1
8852,24,299.027301780423,186.385814521892,66153.5939615023,"",NA,NA
2488,298,229.180018520468,183.57428697432,400191.757926264,"potential bp",0,1
15182,24,269.97969341475,186.46696106908,20766.0139876447,"",NA,NA
13492,24,879.186752483734,186.262067287132,27776.8615583219,"",NA,NA
7815,486,676.546477744951,184.563642667255,82156.544067595,"bp|isotope",1,1
14184,24,705.209767601286,185.59180730977,24727.4506672734,"",NA,NA
15465,24,265.019873153446,186.202143577368,19755.8819966996,"",NA,NA
15109,24,339.038509310622,186.381509841894,20988.1178126242,"",NA,NA
5131,79,476.421807214758,182.877741866249,151368.085271802,"potential bp|isotope",4,1
14212,24,563.164614826994,186.109320806301,24593.2102048838,"",NA,NA
11860,24,819.211751424013,186.14262473237,36586.6617875041,"potential bp|isotope",3,1
13618,24,239.059319328114,186.439656116184,27192.7423710439,"",NA,NA
16021,24,241.039237476103,186.400035667581,17648.5295010915,"",NA,NA
7720,24,268.980215756957,186.342011963027,83736.2809006856,"",NA,NA
10214,24,343.01527163645,186.444400352062,50016.6046554363,"",NA,NA
14373,24,387.099802823101,186.557824007493,23994.0002205467,"",NA,NA
3059,79,457.388323767364,182.907882738736,304553.823398457,"potential bp",2,1
15095,24,637.183454721249,186.211346014422,21038.2019161958,"",NA,NA
15799,24,706.20817059568,185.633192476166,18467.4148345876,"",NA,NA
13413,24,801.181636339391,186.145872665035,28129.3730208237,"potential bp|isotope",15,1
943,79,935.751954573542,182.347909344163,1228566.9737638,"",NA,NA
2700,222,935.750424047563,190.387495446995,357288.82154032,"potential bp",0,1
15,14,79.0214552887993,20.4867069941363,21697228.4997755,"potential bp",18,1
14064,24,313.077369425819,186.438638858222,25229.5611250831,"",NA,NA
12750,24,327.0574843114,186.489676420028,31180.2815236999,"",NA,NA
13311,24,329.037512490002,186.390594880528,28590.0405693313,"",NA,NA
11404,24,578.126907350569,186.203293701555,39902.9910909829,"",NA,NA
13946,24,924.326108766282,186.154373189988,25672.7293895486,"potential bp|isotope",2,1
13485,24,385.044160114993,186.191398502682,27800.3201905537,"",NA,NA
423,79,480.375186725456,182.406584828588,2788057.05203839,"bp|isotope",3,1
1408,222,480.376574297421,189.784372381036,768766.86973488,"bp|isotope",1,1
11430,24,505.105020340568,186.172885846335,39690.3935869963,"",NA,NA
11845,24,906.301176416973,186.124361110155,36710.8924744599,"potential bp",0,1
13121,24,907.310743527502,186.012234765674,29387.3060505248,"potential bp|isotope",0,1
10169,24,923.327507548477,186.224520043682,50454.6305151661,"potential bp|isotope",2,1
11546,24,935.644215588693,186.678666830303,38845.0963060309,"potential bp|isotope",1,1
14364,24,345.067382625391,186.545666642323,24019.4407480055,"",NA,NA
5079,213,465.434203097522,141.842339366811,153880.380428762,"bp|isotope",1,1
12541,24,800.183123703093,186.109320806301,32403.1380055012,"potential bp|isotope",15,1
12108,24,878.187110788112,186.133391590377,34896.4288782102,"",NA,NA
9009,1209,224.064581430296,186.446434743605,64334.2511900824,"",NA,NA
6617,24,283.044254462905,186.346894364109,105368.286571251,"",NA,NA
4141,486,675.543226075546,184.683384754551,205260.255972656,"bp",1,1
9226,24,934.640418068162,186.732950869203,61604.9587279969,"potential bp",1,1
8451,24,266.999509543247,186.352403806591,71206.1216568829,"",NA,NA
11302,24,343.106783925779,186.314247760476,40687.6029131384,"potential bp|isotope",5,1
11231,24,361.02665433471,186.507054965317,41213.263539093,"",NA,NA
139,13,704.21321450202,131.944367497288,9525535.38140897,"",NA,NA
11707,24,704.209229881066,185.691930420162,37642.3768261193,"",NA,NA
8413,24,818.212807254776,186.19555325318,71692.8558496469,"potential bp|isotope",3,1
11668,24,861.206549903427,186.154373189988,37902.7053937111,"potential bp|isotope",11,1
9890,24,877.18477873348,186.204747163428,53385.8537996704,"",NA,NA
10271,24,905.263663245179,186.124361110155,49476.6944585027,"potential bp|isotope",16,1
13910,24,908.310895923761,186.116113479782,25861.6206152982,"potential bp|isotope",0,1
11288,24,207.032436235224,186.331611074122,40771.2102407783,"",NA,NA
13118,24,297.046451766464,186.489676420028,29396.7705140634,"",NA,NA
13338,24,417.035146476778,185.943237845754,28470.8102524925,"potential bp|isotope",13,1
12429,24,579.124222969167,186.189605653744,33009.6216255539,"",NA,NA
13763,105,694.136634987766,187.881859049603,26534.7379731235,"potential bp|isotope",0,1
12558,738,707.11122436212,188.301602519516,32325.3957078122,"bp",NA,NA
7028,24,860.205532255607,186.198531464082,96532.7985704438,"potential bp|isotope",11,1
11087,24,876.177473247397,186.330571062293,42409.2352288885,"",NA,NA
10664,24,300.062313109545,186.436377469922,46090.0342292049,"",NA,NA
11696,24,417.126154664614,186.746452702275,37737.798082073,"potential bp|isotope",4,1
11516,24,416.03771654571,186.308187948341,39073.7827454879,"potential bp|isotope",13,1
10112,24,504.108156771091,186.199984925956,51028.366100235,"",NA,NA
4969,24,816.214560494228,186.203371009302,158876.667923587,"",NA,NA
13201,24,519.13779322285,186.342007440356,29063.8145490628,"",NA,NA
6122,24,920.328409123637,186.287850860525,118756.096110571,"",NA,NA
8912,24,209.012399130275,186.296320374959,65366.8832673013,"",NA,NA
1685,298,285.242700124077,183.507753276561,630478.80777724,"bp",1,1
9050,24,358.068339908857,186.685553827554,63829.3270505514,"potential bp|isotope",6,1
8036,24,373.095304838996,186.809716209549,78229.1147751607,"",NA,NA
14418,358,465.145306551994,188.967832915585,23762.9396268134,"potential bp|isotope",0,1
8963,24,895.27595065155,186.346894364109,64768.0074009785,"potential bp|isotope",9,1
12229,24,896.274740075432,186.621286146056,34069.8105907567,"potential bp|isotope",9,1
6663,24,921.329360525496,186.278851795019,104437.00462062,"",NA,NA
7340,24,922.327756898347,186.247025742914,90281.1940683805,"potential bp",2,1
8125,24,286.010432601317,186.424483860782,76569.8977262859,"potential bp|isotope",10,1
8464,24,577.126245334004,186.1491205977,71064.4315705115,"",NA,NA
9318,105,693.137527248035,187.735296667269,60274.8488157886,"potential bp",0,1
5571,24,817.213301811889,186.042697811586,135480.398834961,"",NA,NA
5699,24,817.213075113434,186.336811518575,131153.229895207,"potential bp",3,1
8618,24,342.018949321404,186.390594880528,68980.5817180747,"",NA,NA
7884,105,692.142837796593,187.594991097063,80903.7778891853,"",NA,NA
690,143,717.2303195859,177.55993751625,1713899.76994865,"",NA,NA
7372,24,904.263497354075,186.112325718117,89682.8756730347,"potential bp|isotope",16,1
3552,144,299.062447353695,127.740660635413,251185.498969067,"potential bp",5,1
2465,16,299.062394257362,156.363148501873,403749.085769309,"",NA,NA
4701,24,299.061780833862,186.439656116184,171142.871999834,"",NA,NA
2863,13,299.062281330142,131.842830654919,332829.966842781,"",NA,NA
9309,24,360.029473155067,186.466592690777,60374.6346480844,"",NA,NA
9139,24,401.075322045702,186.386052361211,62697.9634369166,"",NA,NA
15301,143,401.075232649837,176.944507384261,20327.8397974658,"",NA,NA
9152,24,416.128366241227,186.671778907334,62584.5374370918,"potential bp|isotope",4,1
6710,24,875.177866681458,186.364285981521,103328.264329934,"potential bp|isotope",7,1
3674,24,859.205857635797,186.262299090414,240691.122201123,"potential bp|isotope",11,1
9205,24,342.109670424621,186.420595986704,61895.138037052,"potential bp|isotope",5,1
138,79,479.371291945393,182.70926225012,9533030.79829576,"bp",3,1
518,222,479.372934579655,189.954441411467,2269995.73077721,"bp",1,1
4510,24,902.262229570137,186.151746893844,181589.706333178,"",NA,NA
7583,613,628.267324378633,191.971259562319,85938.9453483093,"bp",NA,NA
5760,105,691.138802630781,187.588879691862,129195.958500908,"",NA,NA
4277,24,815.213837319731,186.191398502682,196416.10469483,"",NA,NA
3999,24,901.26137927152,186.064095417213,215942.053383536,"",NA,NA
8780,358,464.14498213059,188.857614502792,66980.2850977318,"potential bp",0,1
6275,24,372.101890527435,186.838662300126,114685.262823948,"",NA,NA
13057,433,372.101798325779,176.599009061363,29720.8030393205,"",NA,NA
1300,79,475.418807482304,182.840195755614,849366.977640192,"potential bp|isotope",4,1
3834,105,690.179908014309,187.3005231884,228875.710421058,"potential bp|isotope",2,1
4548,24,874.179212905953,186.483351253344,179137.145653518,"potential bp|isotope",7,1
8364,24,226.043917681556,186.415125498356,72408.0796517944,"potential bp|isotope",12,1
3937,13,415.127517633926,131.970141800818,221052.874294805,"",NA,NA
3976,16,415.127368016505,156.815607953628,218132.211969384,"",NA,NA
4795,24,415.127371306844,186.676355305082,166140.513963197,"potential bp",4,1
8612,146,415.127340063762,147.86910652764,69060.0688669889,"",NA,NA
2630,13,430.089630582934,131.921454365152,369045.083017918,"",NA,NA
4498,16,430.089520139924,157.299692519865,182400.437485544,"",NA,NA
5038,24,430.089483306391,186.684795726646,155950.150374332,"",NA,NA
9089,143,430.089401192971,177.330184231944,63290.7340634034,"",NA,NA
12294,146,430.089205367662,148.355018022453,33749.1505896973,"",NA,NA
7975,24,489.14603875946,186.743439723933,79381.0067988371,"",NA,NA
11962,143,489.145819786373,177.163409564026,35823.0360607334,"",NA,NA
5313,24,282.051978738998,186.385814521892,144861.793584707,"",NA,NA
5595,105,446.120713700181,187.989661495115,134595.432065774,"",NA,NA
13499,143,446.120615207312,177.16591142412,27767.6780086231,"",NA,NA
6896,358,463.147088496574,188.889319479643,99316.08943645,"",NA,NA
2971,33,341.108506653766,99.2082235824602,318073.387945035,"",NA,NA
2017,13,341.108735032813,131.765620606503,511031.630263122,"",NA,NA
2194,16,341.108717181134,156.469595307076,462195.673872469,"",NA,NA
4108,24,341.108593038062,186.38820470121,208023.021657512,"potential bp",5,1
7208,303,341.108702613759,117.463995641997,92974.3982002527,"",NA,NA
10887,143,341.108419421927,176.931642439057,44067.24849339,"",NA,NA
8182,173,341.108651170858,146.617975549501,75473.6926294672,"",NA,NA
4111,144,341.108828083077,127.670636272428,207483.499389454,"",NA,NA
10115,3134,341.108766377988,119.401523818664,51004.5637552608,"",NA,NA
1693,79,440.381553903973,182.843219812026,627930.464179582,"potential bp|isotope",6,1
2886,222,440.381379850543,189.329461596551,328748.667493025,"potential bp|isotope",2,1
6715,105,447.116768243661,187.85114095379,103222.156942211,"potential bp",1,1
9133,4206,537.49146141911,165.504346470603,62766.617635196,"bp|isotope",0,1
3503,24,357.068238838462,186.54039758825,256292.0752228,"potential bp",6,1
9223,143,357.067700812193,176.899635265352,61649.1205051369,"",NA,NA
